TABLE,"QQ(kt,t,v)",,,Y1,Y2,Y3,X1,X2,X3,X4,X5,F1,F2
,3644,.,89,1123104000,5694.68,3929.81,57756639.85,97,12562041600000,15397200000,0,2985.66,1.16097
,3775,.,89,4084502000,22366.22,16750.23,166002122.1,180,38532255000000,31668050400,0,11723.25,1.875413
,3776,.,89,1469248000,8892.52,5853.24,133165381.8,133,14596403200000,133836040800,0,4658.33,4.566483
,3788,.,89,2654366000,16625.95,8192.68,189875344.9,210,28013604800000,186541593000,0,8761.63,8.318798
,3796,.,89,1312043000,9953.65,5702.38,96643674.12,143,13138595200000,38220000000,0,5232.81,1.93495
,3936,.,89,1449220000,8861.62,6416.47,137571092.9,147,14512046800000,40095459600,0,4664,4.416152
,3945,.,89,603740000,5276.8,3408.57,78829418.93,83,7578840000000,21911400000,0,2778.58,1.65215
,3946,.,89,1213606000,12931.36,8115.06,85667858.75,73,12907979000000,17173800000,0,6809.65,1.294928
,3947,.,89,4764782000,149138.61,31508.76,180144192.9,242,45920729600000,22778263200,0,78548.1,0.184564
,3948,.,89,6703817000,65040.62,30782.51,339112379.6,256,66435128600000,522972172800,0,34090.46,59.721499
,4054,.,89,1172139000,11065.08,9197.1,52053120.71,63,11836258800000,0,0,5813.9,0
,4072,.,89,1240988000,25543.42,7040.3,125318030.4,164,13791199400000,15649200000,276401200000,13436.88,0.884123
,4158,.,89,5441307000,18581.01,37206.77,222688353.8,251,61022222200000,110095532400,0,14121.98,8.528666
,4162,.,89,4701089000,25965.88,19201.59,182715982.1,208,49014415400000,30794400000,85000000000,22179.68,2.32194
,6002,.,89,7986423000,36635.3,25652.89,571357285.7,447,82695197400000,40793167800,1028161900000,19364.07,4.085722
,6004,.,89,7647042000,42235.62,29681.66,416113417.1,248,78213667000000,312089400000,0,98921.35,23.531974
,6016,.,89,1879138000,8555.93,7065.33,161180948.4,131,19327511000000,34709220000,0,32197.23,1.964719
,6017,.,89,4348008000,21755.7,10061.7,348990446,244,43600555600000,155867523000,0,35880.09,8.841235
,6095,.,89,4583435000,19998,19795.34,226947818.8,219,47637774600000,67431890400,0,11456.07,5.179713
,6139,.,89,8464093000,31130.95,46604.1,218657765.4,131,89360089200000,156996000000,0,17878.64,8.742999
,6146,.,89,15271533000,56714.09,45799.64,456549917.8,634,175110503200000,343123200000,0,130683.99,44.057332
,6147,.,89,12662237000,77620.21,54813.77,328353765.5,471,143771911000000,515844000000,0,67845.71,66.23484
,6155,.,89,5806994000,58808.66,20455.74,249230064.6,241,57160275800000,54087600000,0,30993.83,6.99559
,6178,.,89,3608775000,13088.69,12178.63,132807466.7,112,35045975200000,49191744000,0,6817.02,5.83462
,6193,.,89,6921660000,27484.94,29489.18,195921046.1,148,68983831200000,0,471820600000,15705.6,0
,6248,.,89,2779023000,9445.45,19514,203225345.3,113,29609305600000,150226608000,0,5318.4,13.648842
,6264,.,89,7665399000,39034.31,22591.96,317771330.7,251,71966004000000,179683812000,0,20528.2,15.226571
,8042,.,89,11553230000,73515.48,46250.36,282771957.9,180,105237106800000,148989401400,0,38671.28,7.650496
,8102,.,89,13067444000,363919.05,63977.52,491928344.6,370,130392976000000,319161796800,0,191700.24,28.312789
,8226,.,89,3479388000,41987.5,10527.51,176877183.1,163,34377040000000,0,151321600000,22151.6,0
,,,,,,,,,,,,,
,3,.,90,7353614000,52010.8,22745.49,369447298.9,411,71341282800000,20400193800,699998500000,27377.12,1.314278
,8,.,90,8092428000,110504.86,26157.41,345075671.6,482,79375592600000,149845462200,0,58110.51,16.570617
,470,.,90,3728803000,12961.71,17500.6,169660644,111,39041930200000,63049795200,12302100000,7358.4,4.748071
,602,.,90,3943618000,21511.64,11908.85,244568234.6,124,39228082800000,215968317600,0,11277.62,13.562514
,641,.,90,3989602000,96003.73,18624.24,273045129.9,241,42525354000000,47182800000,1040700000000,50559,6.102536
,708,.,90,4764035000,61125.3,21314.1,187624520.4,287,49528115200000,68972400000,0,32209.56,8.856119
,709,.,90,10202580000,97258.8,43759.34,305055104.3,432,98698247600000,53323200000,0,51226.04,6.846748
,728,.,90,6179897000,102078.04,19772.02,289170438.3,414,63500961600000,92824200000,0,53677.98,11.832966
,856,.,90,3261786000,23464.66,13928.79,188404611.5,167,32619953400000,57629623800,0,12359.29,3.499283
,861,.,90,3248214000,111383.9,27578.84,221834249.7,281,35359317000000,64990275000,0,58607.9,2.944101
,862,.,90,340441800,10299.01,1996.33,90693662.78,107,4188965000000,35983155600,0,5422.36,1.927508
,863,.,90,555716100,13423.09,2016.02,70409974.25,93,6045978400000,34553904000,0,7067.36,2.054024
,864,.,90,851969100,20692.08,3238.29,134539919.6,148,9598123200000,187078852800,0,10874.88,20.380981
,876,.,90,4766229000,171649.56,43105.61,274085681.4,294,53677981400000,0,67692400000,90349.83,0
,879,.,90,3873397000,17935.31,21610.17,549215206.2,360,48306245400000,0,168400000000,10203.19,0
,887,.,90,7206637000,119070.57,24335.01,366476178.2,358,74494424400000,40931276400,0,62665.07,3.721058
,889,.,90,8215656600,224614.8,55470.58,349814127.6,258,83858880400000,122304000000,0,118257.49,6.191841
,983,.,90,9534424000,268819.3,64454.5,343110710.4,381,94526391400000,27744393600,0,141432.24,2.14333
,988,.,90,5429919000,82244.73,32622.24,337560157.2,335,52712746000000,147274444800,0,43327,14.610364
,991,.,90,734577000,12496.78,2769.57,120387119.1,102,8252970000000,110992392000,0,6574.62,7.39151
,994,.,90,9178848000,114416.89,26362.79,557328916.7,328,94920450600000,150976644000,0,109191.55,8.900772
,1004,.,90,95363020,3366.44,766.51,66757179.2,70,1462814800000,23016000000,0,1768.13,1.786108
,1008,.,90,2049895500,45266.61,11006.42,150505288.3,157,21898998000000,236489400000,0,23768.79,18.35226
,1012,.,90,1929996800,49881.69,10446.11,109965278.7,86,21079461000000,10508400000,21320000000,26244.84,1.018082
,1047,.,90,1147228300,5341.52,5832.93,94672374.76,54,12777772600000,28224000000,0,2991.86,3.572216
