"Plant_I.D." "Electricity" "Sulfur_Dioxide" "Nitrious_Oxide" "Dollars" "Employees" "Heat_Content_of_Coal" "Heat_Content_of_Oil" "Heat_Content_of_Gas" "CAA"
"47" 2721 5638.28941469489 41.1499476961395 16.2501270236613 934754225.097 139.818181818182 16453.1054373235 58.3266283465091 0 0.545454545454545
"48" 2727 26850.9085927771 178.418717310087 69.8738430884184 1671713968.15556 183.181818181818 71508.4673632603 147.150113301666 0 0.545454545454545
"49" 2790 1051.22926276463 7.72224408468244 2.21970361145704 210735689.929492 50.7272727272727 4072.50077839502 0 0.505627867995019 0.545454545454545
"50" 2850 40943.9788293898 433.24200747198 183.865867995019 2729416119.09008 542.363636363636 118097.723349648 81.7961676325958 0 0.545454545454545
"51" 2864 6529.81544209215 182.159912826899 34.5415716064757 1186099767.91572 249 21677.2124958665 13.1076868906132 0 0.545454545454545
"52" 2872 20270.7496886675 683.679449564135 116.531175591532 2109120120.093 369.272727272727 57673.9612959228 186.712573199429 0 0.545454545454545
"53" 2876 21315.0640099626 575.769820672478 133.74399750934 1627246054.43456 336.636363636364 61289.9746802511 20.9633563271477 0 0.545454545454545
"54" 3098 5515.27566625156 12.4955566625156 27.8032229140722 1241315479.49248 216.818181818182 18611.365064663 86.1846661931626 0 0.545454545454545
"55" 3130 3282.56737235367 43.5275790784558 12.2989638854296 609057620.11584 93.9090909090909 10796.2968378889 109.812545046874 0 0.545454545454545
"56" 3131 10027.7354919054 151.951469489415 35.714199252802 1130599509.56176 131.545454545455 30021.0837633041 237.907768985408 0 0.545454545454545
"57" 3138 4427.19750933998 59.6911930261519 22.8198156911582 778596730.97472 154.727272727273 14811.2906982456 37.8210974476887 0 0.545454545454545
"58" 3140 23663.4829389788 324.906831880448 64.8142814445828 1724242517.03284 209.818181818182 68326.5325619567 319.643643352452 0 0.545454545454545
"59" 3149 26197.4204234122 330.512134495641 70.961100871731 1677908018.68452 189.090909090909 72828.2214865494 344.772225105225 0 0.545454545454545
"60" 3178 5806.30087173101 83.8245853051059 25.5922590286426 533079768.190844 84.4545454545455 17105.5486890007 19.276441699064 0 0.545454545454545
"61" 3297 10305.6403486924 92.3204657534247 43.7428916562889 743586386.92576 92.2727272727273 29807.8311843706 205.426666182405 0 0.545454545454545
"62" 3497 18019.3479452055 158.591419676214 51.8873823163138 1047070248.6622 220.545454545455 57542.170468788 0 861.302503278456 0.545454545454545
"63" 3644 3052.31457036115 13.4445529265255 10.7318630136986 322327425.826196 97.5454545454545 9994.34503886675 11.0596515691158 0 0.545454545454545
"64" 3775 10706.6874221669 57.0098480697385 43.6927198007472 932279237.79928 173.636363636364 29414.8049126257 29.3877110546361 0 0.545454545454545
"65" 3776 3397.17110834371 23.9879352428394 13.3464557907846 748486943.50192 130 10662.3919066954 98.7137878374202 0 0.545454545454545
"66" 3788 5960.74445828144 37.1585678704857 18.393496886675 1058546681.95612 197.181818181818 18500.1198533081 146.665727234863 0 0.545454545454545
"67" 3796 3118.08642590286 21.8228542963885 13.9746799501868 524991120.38016 128.818181818182 9353.12627329763 32.4048557409714 0 0.545454545454545
"68" 3936 3384.06575342466 19.9275666251557 15.0397907845579 774685605.74832 138.545454545455 9789.29332496787 22.4239400527293 0 0.545454545454545
"69" 3945 951.888418430884 8.42224906600249 5.3907795765878 442266887.837796 79.7272727272727 3526.62658176687 13.5300236368618 0 0.545454545454545
"70" 3946 2386.98505603985 26.5910759651308 15.8585056039851 476687508.459204 72.0909090909091 7307.28959724732 14.0487465877958 3.28918701967621 0.545454545454545
"71" 3947 12830.7290161893 399.752665006227 84.657200498132 1001656626.6756 236.090909090909 36277.9856188722 16.9308200484269 0 0.545454545454545
"72" 3948 18989.6079701121 193.801890410959 79.3997534246575 1884919706.10188 252.454545454545 54453.9061826286 262.892404812723 0 0.545454545454545
"73" 4054 2860.72801992528 26.9052204234122 19.0406824408468 289854806.338888 62.6363636363636 8636.4948375198 3.97740724963935 0 0.545454545454545
"74" 4072 3837.21843088418 57.0646151930261 21.3160149439601 695156050.5092 154 12590.2806451592 26.7804519242839 155.649856567621 0.545454545454545
"75" 4158 14938.3337484433 64.0753773349938 89.7549290161893 1239489212.79652 257.363636363636 48814.863099727 62.7694898081111 0 0.545454545454545
"76" 4162 11925.303113325 54.9052826899128 47.9683337484433 1030721017.10256 215 36361.1102272229 25.6421429198272 88.5734840405978 0.545454545454545
"77" 6002 28307.9584059776 121.121118306351 85.3596338729763 3165408713.46196 403.909090909091 78793.1896069898 172.220533396852 1183.62980911756 0.545454545454545
"78" 6004 20344.1153175592 325.442316313823 71.8201220423412 2309939765.94136 247.636363636364 59548.6006387651 223.353457289664 21.2897289041096 0.545454545454545
"79" 6016 5487.82191780822 23.4588792029888 20.345100871731 889401781.38672 127.545454545455 16377.6892488149 25.0355307649808 0 0.545454545454545
"80" 6017 12264.4732254047 54.6752552926526 29.262296388543 1926522495.98928 238.636363636364 37202.9305829036 114.698829710569 0 0.545454545454545
"81" 6095 14886.7100871731 55.5589315068493 59.0284433374844 1249075037.644 217.909090909091 44755.7634233664 46.3871420236872 0 0.545454545454545
